condition,source_line,iteration,observed_at,raw_rows,mv_rows,query_number,query_name,latency_sec,compilation_sec,execution_sec,legend_label,attribution_legend_label,data_path,warehouse,display_latency_sec,included_in_plot,exclusion_reason
imv_gen2,19,19,2026-08-11T14:18:57Z,9966828956,154877,1,Single-symbol summary,1.648,1.094,0.455,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,1.711,True,
imv_gen2,20,20,2026-08-11T14:28:57Z,10515573711,164959,1,Single-symbol summary,1.711,1.086,0.51,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.438,True,
imv_gen2,21,21,2026-08-11T14:38:57Z,11061458462,174876,1,Single-symbol summary,7.061,6.583,0.398,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.031,True,
imv_gen2,22,22,2026-08-11T14:48:57Z,11598082800,183964,1,Single-symbol summary,23.714,23.169,0.435,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,,False,"above per-condition, per-query Tukey upper fence"
imv_gen2,23,23,2026-08-11T14:58:57Z,12155361632,185326,1,Single-symbol summary,2.438,1.833,0.529,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.031,True,
imv_gen2,24,24,2026-08-11T15:08:57Z,12686918328,200452,1,Single-symbol summary,3.031,2.397,0.492,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.031,True,
imv_gen2,25,25,2026-08-11T15:18:57Z,13239818975,210421,1,Single-symbol summary,4.207,3.649,0.419,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.272,True,
imv_gen2,26,26,2026-08-11T15:28:57Z,13783825272,220093,1,Single-symbol summary,4.502,3.887,0.481,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.272,True,
imv_gen2,27,27,2026-08-11T15:38:57Z,14320432691,221045,1,Single-symbol summary,2.796,2.225,0.5,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.639,True,
imv_gen2,28,28,2026-08-11T15:48:57Z,14865686419,231080,1,Single-symbol summary,3.272,2.614,0.534,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,4.207,True,
imv_gen2,29,29,2026-08-11T15:58:57Z,15406449067,241034,1,Single-symbol summary,3.639,2.933,0.625,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.639,True,
imv_gen2,30,30,2026-08-11T16:08:57Z,15953152260,256209,1,Single-symbol summary,5.759,4.98,0.721,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.272,True,
imv_gen2,31,31,2026-08-11T16:18:57Z,16496810019,265071,1,Single-symbol summary,4.69,4.13,0.496,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.639,True,
imv_gen2,32,32,2026-08-11T16:28:57Z,17037168163,266645,1,Single-symbol summary,3.27,2.605,0.493,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.97,True,
imv_gen2,33,33,2026-08-11T16:38:57Z,17587595862,276663,1,Single-symbol summary,3.143,2.504,0.523,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,4.69,True,
imv_gen2,34,34,2026-08-11T16:48:57Z,18120902444,286445,1,Single-symbol summary,5.217,4.589,0.474,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,4.469,True,
imv_gen2,35,35,2026-08-11T16:58:57Z,18664388826,292723,1,Single-symbol summary,3.97,3.184,0.713,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.97,True,
imv_gen2,36,36,2026-08-11T17:08:57Z,19216193045,296867,1,Single-symbol summary,6.965,6.168,0.543,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,4.469,True,
imv_gen2,37,37,2026-08-11T17:18:57Z,19745883933,311850,1,Single-symbol summary,4.469,3.883,0.338,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.161,True,
imv_gen2,38,38,2026-08-11T17:28:57Z,20305329136,321452,1,Single-symbol summary,3.924,3.356,0.503,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.161,True,
imv_gen2,39,39,2026-08-11T17:38:57Z,20844684066,322191,1,Single-symbol summary,5.161,4.413,0.645,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.399,True,
imv_gen2,40,40,2026-08-11T17:48:57Z,21391428069,332210,1,Single-symbol summary,5.994,5.157,0.673,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.36,True,
imv_gen2,41,41,2026-08-11T17:58:57Z,21938345201,356051,1,Single-symbol summary,6.855,6.149,0.643,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.399,True,
imv_gen2,42,42,2026-08-11T18:08:57Z,22480394175,357598,1,Single-symbol summary,5.399,4.64,0.687,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.994,True,
imv_gen2,43,43,2026-08-11T18:18:57Z,23027036303,367612,1,Single-symbol summary,5.36,4.621,0.643,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,6.855,True,
imv_gen2,44,44,2026-08-11T18:28:57Z,23563684837,377635,1,Single-symbol summary,6.962,6.226,0.652,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,6.962,True,
imv_gen2,45,45,2026-08-11T18:38:57Z,24108292723,387804,1,Single-symbol summary,8.799,8.199,0.51,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,7.206,True,
imv_gen2,46,46,2026-08-11T18:48:57Z,24651647019,397339,1,Single-symbol summary,8.101,7.322,0.685,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,8.068,True,
imv_gen2,47,47,2026-08-11T18:58:57Z,25200289313,398498,1,Single-symbol summary,7.206,6.533,0.558,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,8.101,True,
imv_gen2,48,48,2026-08-11T19:08:57Z,25747852434,413927,1,Single-symbol summary,8.068,7.293,0.705,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,8.799,True,
imv_gen2,49,49,2026-08-11T19:18:57Z,26283076869,424144,1,Single-symbol summary,10.634,9.622,0.558,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,10.248,True,
imv_gen2,50,50,2026-08-11T19:28:57Z,26820178083,434321,1,Single-symbol summary,10.248,9.632,0.543,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,10.634,True,
imv_gen2,51,51,2026-08-11T19:38:57Z,27375417517,442724,1,Single-symbol summary,12.131,11.026,0.52,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,10.634,True,
imv_gen2,52,52,2026-08-11T19:48:57Z,27918995748,445164,1,Single-symbol summary,15.681,14.546,0.583,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,10.634,True,
imv_gen2,53,53,2026-08-11T19:58:57Z,28455528243,455348,1,Single-symbol summary,16.381,15.862,0.44,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,10.248,True,
imv_gen2,54,54,2026-08-11T20:08:57Z,28993570106,470389,1,Single-symbol summary,7.587,6.825,0.668,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,12.131,True,
imv_gen2,55,55,2026-08-11T20:18:57Z,29545700964,471235,1,Single-symbol summary,6.042,5.408,0.569,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,12.782,True,
imv_gen2,56,56,2026-08-11T20:28:57Z,30083988028,481460,1,Single-symbol summary,9.663,8.87,0.691,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,12.782,True,
imv_gen2,57,57,2026-08-11T20:38:57Z,30630575890,491435,1,Single-symbol summary,12.782,12.082,0.582,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,12.782,True,
imv_gen2,58,58,2026-08-11T20:48:57Z,31165284381,494356,1,Single-symbol summary,13.689,13.037,0.553,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,13.689,True,
imv_gen2,59,59,2026-08-11T20:58:57Z,31720586913,502317,1,Single-symbol summary,18.122,17.168,0.689,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,13.689,True,
imv_gen2,60,60,2026-08-11T21:08:57Z,32256432850,512514,1,Single-symbol summary,17.041,16.198,0.724,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,14.101,True,
imv_gen2,61,61,2026-08-11T21:18:57Z,32804567571,527794,1,Single-symbol summary,14.101,13.003,0.567,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,14.263,True,
imv_gen2,62,62,2026-08-11T21:28:57Z,33359668543,538072,1,Single-symbol summary,8.683,7.969,0.63,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,14.263,True,
imv_gen2,63,63,2026-08-11T21:38:57Z,33893505898,548548,1,Single-symbol summary,18.058,16.796,0.641,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,14.101,True,
imv_gen2,64,64,2026-08-11T21:48:57Z,34442826434,559115,1,Single-symbol summary,14.263,12.799,0.671,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,13.188,True,
imv_gen2,65,65,2026-08-11T21:58:57Z,34990195086,574478,1,Single-symbol summary,13.188,12.016,0.6,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,13.188,True,
imv_gen2,66,66,2026-08-11T22:08:57Z,35543561911,584951,1,Single-symbol summary,10.173,9.462,0.592,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,13.865,True,
imv_gen2,67,67,2026-08-11T22:18:57Z,36086551556,595352,1,Single-symbol summary,12.85,12.109,0.635,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,13.188,True,
imv_gen2,68,68,2026-08-11T22:28:57Z,36629144961,610534,1,Single-symbol summary,13.865,13.032,0.572,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,12.85,True,
imv_gen2,69,69,2026-08-11T22:38:57Z,37176739226,625922,1,Single-symbol summary,16.077,15.616,0.381,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,12.85,True,
imv_gen2,70,70,2026-08-11T22:48:57Z,37714068818,636036,1,Single-symbol summary,10.509,9.364,0.8,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,13.865,True,
imv_gen2,71,71,2026-08-11T22:58:57Z,38258658415,645397,1,Single-symbol summary,8.84,7.919,0.813,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,14.344,True,
imv_gen2,72,72,2026-08-11T23:08:57Z,38815458699,647027,1,Single-symbol summary,16.175,15.205,0.758,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,14.344,True,
imv_gen2,73,73,2026-08-11T23:18:57Z,39353814542,657293,1,Single-symbol summary,14.344,13.574,0.672,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,14.344,True,
imv_gen2,74,74,2026-08-11T23:28:57Z,39910561199,667594,1,Single-symbol summary,15.849,14.977,0.636,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,14.344,True,
imv_gen2,75,75,2026-08-11T23:38:57Z,40450795463,683174,1,Single-symbol summary,13.817,13.254,0.461,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,15.25,True,
imv_gen2,76,76,2026-08-11T23:48:57Z,41001235716,693776,1,Single-symbol summary,16.193,15.457,0.643,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,15.25,True,
imv_gen2,77,77,2026-08-11T23:58:57Z,41541364286,704017,1,Single-symbol summary,8.78,8.007,0.706,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,15.833,True,
imv_gen2,78,78,2026-08-12T00:08:57Z,42087321356,713298,1,Single-symbol summary,15.25,14.334,0.825,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,15.25,True,
imv_gen2,79,79,2026-08-12T00:18:57Z,42638946619,714939,1,Single-symbol summary,16.16,15.416,0.661,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,15.833,True,
imv_gen2,80,80,2026-08-12T00:28:57Z,43189555601,725251,1,Single-symbol summary,15.833,14.947,0.843,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,15.833,True,
imv_gen2,81,81,2026-08-12T00:38:57Z,43737335549,740685,1,Single-symbol summary,14.206,13.168,0.613,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,15.833,True,
imv_gen2,82,82,2026-08-12T00:48:57Z,44285385932,750762,1,Single-symbol summary,16.276,15.532,0.689,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,16.16,True,
imv_gen2,83,83,2026-08-12T00:58:57Z,44819116712,751509,1,Single-symbol summary,16.422,15.545,0.664,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,16.276,True,
imv_gen2,84,84,2026-08-12T01:08:57Z,45370941730,761877,1,Single-symbol summary,15.66,14.856,0.695,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,16.276,True,
imv_gen2,85,85,2026-08-12T01:18:57Z,45915210443,772204,1,Single-symbol summary,23.808,22.586,0.607,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,,False,"above per-condition, per-query Tukey upper fence"
imv_gen2,86,86,2026-08-12T01:28:57Z,46469268846,787826,1,Single-symbol summary,17.311,16.521,0.731,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,16.276,True,
imv_gen2,87,87,2026-08-12T01:38:57Z,47014619196,796688,1,Single-symbol summary,16.947,16.235,0.626,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,15.66,True,
imv_gen2,88,88,2026-08-12T01:48:57Z,47557887173,798764,1,Single-symbol summary,1.346,0.491,0.458,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.25,True,
imv_gen2,89,89,2026-08-12T01:58:57Z,48108937450,809157,1,Single-symbol summary,2.25,0.993,1.191,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.076,True,
imv_gen2,90,90,2026-08-12T02:08:57Z,48654354733,819224,1,Single-symbol summary,2.073,1.476,0.481,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.073,True,
imv_gen2,91,91,2026-08-12T02:18:57Z,49198792764,827602,1,Single-symbol summary,2.076,1.465,0.422,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.022,True,
imv_gen2,92,92,2026-08-12T02:28:57Z,49752959746,830036,1,Single-symbol summary,2.022,1.456,0.482,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.073,True,
imv_gen2,93,93,2026-08-12T02:38:57Z,50295558507,845478,1,Single-symbol summary,1.832,1.216,0.5,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.022,True,
imv_gen2,94,94,2026-08-12T02:48:57Z,50839423797,855634,1,Single-symbol summary,1.285,0.765,0.462,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.022,True,
imv_gen2,95,95,2026-08-12T02:58:57Z,51388846496,862465,1,Single-symbol summary,3.021,2.382,0.505,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.022,True,
imv_gen2,96,96,2026-08-12T03:08:57Z,51921113849,866535,1,Single-symbol summary,1.615,0.98,0.531,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.26,True,
imv_gen2,97,97,2026-08-12T03:18:57Z,52476957308,876756,1,Single-symbol summary,2.26,1.28,0.433,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.538,True,
imv_gen2,98,98,2026-08-12T03:28:57Z,53013859627,886536,1,Single-symbol summary,3.49,2.583,0.51,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.547,True,
imv_gen2,99,99,2026-08-12T03:38:57Z,53553602030,887550,1,Single-symbol summary,2.547,1.726,0.496,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.547,True,
imv_gen2,100,100,2026-08-12T03:48:57Z,54096739316,903149,1,Single-symbol summary,2.538,1.888,0.478,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,2.886,True,
imv_gen2,101,101,2026-08-12T03:58:57Z,54638958461,913400,1,Single-symbol summary,2.886,2.295,0.503,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,3.49,True,
imv_gen2,102,102,2026-08-12T04:08:57Z,55184688243,923559,1,Single-symbol summary,9.337,8.728,0.547,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,4.716,True,
imv_gen2,103,103,2026-08-12T04:18:57Z,55728939933,932475,1,Single-symbol summary,6.202,5.33,0.435,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,4.716,True,
imv_gen2,104,104,2026-08-12T04:28:57Z,56273535672,934487,1,Single-symbol summary,5.59,4.955,0.444,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,4.716,True,
imv_gen2,105,105,2026-08-12T04:38:57Z,56810381460,944879,1,Single-symbol summary,4.716,4.045,0.493,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.256,True,
imv_gen2,106,106,2026-08-12T04:48:57Z,57362361385,960211,1,Single-symbol summary,3.625,3.087,0.469,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.033,True,
imv_gen2,107,107,2026-08-12T04:58:57Z,57913493016,969932,1,Single-symbol summary,4.407,3.823,0.463,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.033,True,
imv_gen2,108,108,2026-08-12T05:08:57Z,58446958006,971239,1,Single-symbol summary,65.067,64.472,0.467,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,,False,"above per-condition, per-query Tukey upper fence"
imv_gen2,109,109,2026-08-12T05:18:57Z,58996538773,981564,1,Single-symbol summary,5.256,4.498,0.687,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.033,True,
imv_gen2,110,110,2026-08-12T05:28:57Z,59543392881,991989,1,Single-symbol summary,5.033,4.338,0.644,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.256,True,
imv_gen2,111,111,2026-08-12T05:38:57Z,60095495207,1007498,1,Single-symbol summary,7.938,7.295,0.506,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,5.401,True,
imv_gen2,112,112,2026-08-12T05:48:57Z,60639957737,1017387,1,Single-symbol summary,7.994,7.384,0.541,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,6.538,True,
imv_gen2,113,113,2026-08-12T05:58:57Z,61187361357,1021219,1,Single-symbol summary,6.538,5.671,0.721,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,6.538,True,
imv_gen2,114,114,2026-08-12T06:08:57Z,61731139656,1028891,1,Single-symbol summary,5.401,4.727,0.537,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,6.573,True,
imv_gen2,115,115,2026-08-12T06:18:57Z,62279567684,1039264,1,Single-symbol summary,6.573,5.847,0.573,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,6.538,True,
imv_gen2,116,116,2026-08-12T06:28:57Z,62825580983,1049565,1,Single-symbol summary,5.449,4.804,0.562,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,6.538,True,
imv_gen2,117,117,2026-08-12T06:38:57Z,63357205057,1064923,1,Single-symbol summary,6.695,5.989,0.588,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,6.573,True,
imv_gen2,118,118,2026-08-12T06:48:57Z,63914819184,1069441,1,Single-symbol summary,6.346,5.738,0.546,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,6.695,True,
imv_gen2,119,119,2026-08-12T06:58:57Z,64455955665,1075991,1,Single-symbol summary,11.076,10.441,0.528,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,7.733,True,
imv_gen2,120,120,2026-08-12T07:08:57Z,65003623242,1086220,1,Single-symbol summary,7.733,6.56,0.543,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,8.473,True,
imv_gen2,121,121,2026-08-12T07:18:57Z,65557201130,1095890,1,Single-symbol summary,8.473,7.838,0.491,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,8.473,True,
imv_gen2,122,122,2026-08-12T07:28:57Z,66099065156,1097045,1,Single-symbol summary,8.509,7.805,0.567,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,8.473,True,
imv_gen2,123,123,2026-08-12T07:38:57Z,66642452422,1107313,1,Single-symbol summary,11.823,10.944,0.473,Interactive MV · Gen2 Small,Interactive MV · Gen2 Small,Interactive Materialized View,Gen2 Small,8.473,True,
