source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,compilation_sec,execution_sec,residual_sec,included_in_plot,exclusion_reason,display_compilation_sec,display_execution_sec
10,10,2026-08-11T20:18:57Z,29545700964,2,Risk & liquidity (B7),0.556,0.143,0.413,5.551115123125783e-17,True,,0.232,0.534
11,11,2026-08-11T21:18:57Z,32804567571,2,Risk & liquidity (B7),0.766,0.319,0.447,0.0,True,,0.167,0.592
12,12,2026-08-11T22:18:57Z,36086551556,2,Risk & liquidity (B7),0.655,0.232,0.423,5.551115123125783e-17,True,,0.191,0.5680000000000001
13,13,2026-08-11T23:18:57Z,39353814542,2,Risk & liquidity (B7),0.759,0.16,0.599,0.0,True,,0.232,0.534
14,14,2026-08-12T00:18:57Z,42638946619,2,Risk & liquidity (B7),1.525,0.191,1.334,-2.220446049250313e-16,True,,0.191,0.631
15,15,2026-08-12T01:18:57Z,45915210443,2,Risk & liquidity (B7),1.004,0.346,0.658,0.0,True,,0.191,0.813
16,16,2026-08-12T02:18:57Z,49198792764,2,Risk & liquidity (B7),0.822,0.158,0.664,-1.1102230246251565e-16,True,,0.254,0.8639999999999999
17,17,2026-08-12T03:18:57Z,52476957308,2,Risk & liquidity (B7),1.118,0.4,0.718,1.1102230246251565e-16,True,,0.254,0.764
18,18,2026-08-12T04:18:57Z,55728939933,2,Risk & liquidity (B7),1.5,0.254,1.246,0.0,True,,0.254,0.8639999999999999
19,19,2026-08-12T05:18:57Z,58996538773,2,Risk & liquidity (B7),1.018,0.142,0.876,0.0,True,,0.254,0.8639999999999999
20,20,2026-08-12T06:18:57Z,62279567684,2,Risk & liquidity (B7),1.191,0.373,0.818,1.1102230246251565e-16,True,,0.208,0.8640000000000001
21,21,2026-08-12T07:18:57Z,65557201130,2,Risk & liquidity (B7),1.05,0.208,0.842,1.1102230246251565e-16,True,,0.208,0.8640000000000001
22,22,2026-08-12T08:18:57Z,68815578104,2,Risk & liquidity (B7),1.072,0.179,0.893,0.0,True,,0.291,0.8999999999999999
23,23,2026-08-12T09:18:57Z,72058735690,2,Risk & liquidity (B7),2.011,0.291,1.72,2.220446049250313e-16,True,,0.208,0.9830000000000001
24,24,2026-08-12T10:18:57Z,75292467460,2,Risk & liquidity (B7),1.304,0.385,0.919,0.0,True,,0.232,0.962
25,25,2026-08-12T11:18:57Z,78556038400,2,Risk & liquidity (B7),1.191,0.197,0.994,0.0,True,,0.232,1.072
26,26,2026-08-12T12:18:57Z,81806775602,2,Risk & liquidity (B7),1.194,0.232,0.962,0.0,True,,0.197,1.107
27,27,2026-08-12T13:18:57Z,85080158709,2,Risk & liquidity (B7),2.245,0.17,2.075,0.0,True,,0.17,1.139
28,28,2026-08-12T14:18:57Z,88330971978,2,Risk & liquidity (B7),1.981,0.148,1.833,2.220446049250313e-16,True,,0.17,1.811
29,29,2026-08-12T15:18:57Z,91608517197,2,Risk & liquidity (B7),1.309,0.163,1.146,0.0,True,,0.163,1.8179999999999998
30,30,2026-08-12T16:18:57Z,94877773840,2,Risk & liquidity (B7),2.556,0.217,2.339,0.0,True,,0.1585,1.4865
31,31,2026-08-12T17:18:57Z,98161784620,2,Risk & liquidity (B7),1.276,0.154,1.122,0.0,True,,0.163,1.146
