source_line,iteration,observed_at,raw_rows,query_number,query_name,latency_sec,compilation_sec,execution_sec,residual_sec,included_in_plot,exclusion_reason,display_compilation_sec,display_execution_sec
60,60,2026-08-11T21:08:57Z,32256432850,1,Single-symbol summary,0.373,0.148,0.225,0.0,True,,0.271,0.242
61,61,2026-08-11T21:18:57Z,32804567571,1,Single-symbol summary,0.513,0.271,0.242,0.0,True,,0.271,0.242
62,62,2026-08-11T21:28:57Z,33359668543,1,Single-symbol summary,0.76,0.561,0.199,-5.551115123125783e-17,True,,0.271,0.242
63,63,2026-08-11T21:38:57Z,33893505898,1,Single-symbol summary,0.586,0.36,0.226,-2.7755575615628914e-17,True,,0.269,0.22699999999999998
64,64,2026-08-11T21:48:57Z,34442826434,1,Single-symbol summary,0.496,0.269,0.227,-2.7755575615628914e-17,True,,0.271,0.242
65,65,2026-08-11T21:58:57Z,34990195086,1,Single-symbol summary,0.289,0.087,0.202,-2.7755575615628914e-17,True,,0.277,0.22399999999999998
66,66,2026-08-11T22:08:57Z,35543561911,1,Single-symbol summary,0.468,0.251,0.217,2.7755575615628914e-17,True,,0.269,0.22699999999999998
67,67,2026-08-11T22:18:57Z,36086551556,1,Single-symbol summary,0.605,0.282,0.323,0.0,True,,0.269,0.19899999999999995
68,68,2026-08-11T22:28:57Z,36629144961,1,Single-symbol summary,0.501,0.277,0.224,-2.7755575615628914e-17,True,,0.255,0.21200000000000002
69,69,2026-08-11T22:38:57Z,37176739226,1,Single-symbol summary,0.446,0.255,0.191,0.0,True,,0.255,0.21200000000000002
70,70,2026-08-11T22:48:57Z,37714068818,1,Single-symbol summary,0.467,0.275,0.192,0.0,True,,0.275,0.192
71,71,2026-08-11T22:58:57Z,38258658415,1,Single-symbol summary,0.449,0.224,0.225,0.0,True,,0.275,0.192
72,72,2026-08-11T23:08:57Z,38815458699,1,Single-symbol summary,0.428,0.241,0.187,0.0,True,,0.274,0.193
73,73,2026-08-11T23:18:57Z,39353814542,1,Single-symbol summary,0.561,0.281,0.28,0.0,True,,0.274,0.21299999999999997
74,74,2026-08-11T23:28:57Z,39910561199,1,Single-symbol summary,0.509,0.289,0.22,2.7755575615628914e-17,True,,0.266,0.22099999999999997
75,75,2026-08-11T23:38:57Z,40450795463,1,Single-symbol summary,0.487,0.274,0.213,-2.7755575615628914e-17,True,,0.274,0.22999999999999998
76,76,2026-08-11T23:48:57Z,41001235716,1,Single-symbol summary,0.504,0.257,0.247,0.0,True,,0.274,0.22999999999999998
77,77,2026-08-11T23:58:57Z,41541364286,1,Single-symbol summary,0.475,0.266,0.209,-2.7755575615628914e-17,True,,0.266,0.22099999999999997
78,78,2026-08-12T00:08:57Z,42087321356,1,Single-symbol summary,0.558,0.294,0.264,5.551115123125783e-17,True,,0.257,0.21799999999999997
79,79,2026-08-12T00:18:57Z,42638946619,1,Single-symbol summary,0.338,0.047,0.291,5.551115123125783e-17,True,,0.257,0.21799999999999997
80,80,2026-08-12T00:28:57Z,43189555601,1,Single-symbol summary,0.462,0.239,0.223,2.7755575615628914e-17,True,,0.239,0.22299999999999998
81,81,2026-08-12T00:38:57Z,43737335549,1,Single-symbol summary,0.308,0.11,0.198,0.0,True,,0.11,0.22799999999999998
82,82,2026-08-12T00:48:57Z,44285385932,1,Single-symbol summary,0.507,0.266,0.241,0.0,True,,0.11,0.22799999999999998
83,83,2026-08-12T00:58:57Z,44819116712,1,Single-symbol summary,0.3,0.064,0.236,0.0,True,,0.239,0.22299999999999998
84,84,2026-08-12T01:08:57Z,45370941730,1,Single-symbol summary,0.298,0.072,0.226,-2.7755575615628914e-17,True,,0.266,0.241
85,85,2026-08-12T01:18:57Z,45915210443,1,Single-symbol summary,0.704,0.466,0.238,-5.551115123125783e-17,True,,0.286,0.25000000000000006
86,86,2026-08-12T01:28:57Z,46469268846,1,Single-symbol summary,0.668,0.391,0.277,0.0,True,,0.332,0.27899999999999997
87,87,2026-08-12T01:38:57Z,47014619196,1,Single-symbol summary,0.611,0.332,0.279,-5.551115123125783e-17,True,,0.332,0.27899999999999997
88,88,2026-08-12T01:48:57Z,47557887173,1,Single-symbol summary,0.536,0.286,0.25,5.551115123125783e-17,True,,0.381,0.245
89,89,2026-08-12T01:58:57Z,48108937450,1,Single-symbol summary,0.655,0.405,0.25,0.0,True,,0.332,0.27899999999999997
90,90,2026-08-12T02:08:57Z,48654354733,1,Single-symbol summary,0.495,0.217,0.278,0.0,True,,0.311,0.2810000000000001
91,91,2026-08-12T02:18:57Z,49198792764,1,Single-symbol summary,0.626,0.381,0.245,0.0,True,,0.311,0.26500000000000007
92,92,2026-08-12T02:28:57Z,49752959746,1,Single-symbol summary,0.572,0.307,0.265,-5.551115123125783e-17,True,,0.311,0.26500000000000007
93,93,2026-08-12T02:38:57Z,50295558507,1,Single-symbol summary,0.592,0.311,0.281,-5.551115123125783e-17,True,,0.311,0.26500000000000007
94,94,2026-08-12T02:48:57Z,50839423797,1,Single-symbol summary,0.576,0.312,0.264,-5.551115123125783e-17,True,,0.311,0.2810000000000001
95,95,2026-08-12T02:58:57Z,51388846496,1,Single-symbol summary,0.51,0.237,0.273,0.0,True,,0.311,0.2810000000000001
96,96,2026-08-12T03:08:57Z,51921113849,1,Single-symbol summary,0.619,0.337,0.282,0.0,True,,0.311,0.2810000000000001
97,97,2026-08-12T03:18:57Z,52476957308,1,Single-symbol summary,0.629,0.24,0.389,0.0,True,,0.296,0.2800000000000001
98,98,2026-08-12T03:28:57Z,53013859627,1,Single-symbol summary,0.714,0.414,0.3,0.0,True,,0.296,0.323
99,99,2026-08-12T03:38:57Z,53553602030,1,Single-symbol summary,0.567,0.296,0.271,-5.551115123125783e-17,True,,0.296,0.323
100,100,2026-08-12T03:48:57Z,54096739316,1,Single-symbol summary,0.522,0.255,0.267,0.0,True,,0.288,0.341
101,101,2026-08-12T03:58:57Z,54638958461,1,Single-symbol summary,0.65,0.362,0.288,5.551115123125783e-17,True,,0.296,0.3539999999999999
102,102,2026-08-12T04:08:57Z,55184688243,1,Single-symbol summary,0.541,0.273,0.268,0.0,True,,0.296,0.27899999999999997
103,103,2026-08-12T04:18:57Z,55728939933,1,Single-symbol summary,0.664,0.288,0.376,5.551115123125783e-17,True,,0.301,0.338
104,104,2026-08-12T04:28:57Z,56273535672,1,Single-symbol summary,0.652,0.378,0.274,0.0,True,,0.301,0.338
105,105,2026-08-12T04:38:57Z,56810381460,1,Single-symbol summary,0.575,0.301,0.274,-5.551115123125783e-17,True,,0.301,0.338
106,106,2026-08-12T04:48:57Z,57362361385,1,Single-symbol summary,0.639,0.368,0.271,0.0,True,,0.301,0.338
107,107,2026-08-12T04:58:57Z,57913493016,1,Single-symbol summary,0.504,0.243,0.261,0.0,True,,0.301,0.27399999999999997
108,108,2026-08-12T05:08:57Z,58446958006,1,Single-symbol summary,0.69,0.397,0.293,-5.551115123125783e-17,True,,0.272,0.2909999999999999
109,109,2026-08-12T05:18:57Z,58996538773,1,Single-symbol summary,0.451,0.125,0.326,0.0,True,,0.272,0.2909999999999999
110,110,2026-08-12T05:28:57Z,59543392881,1,Single-symbol summary,0.563,0.272,0.291,-5.551115123125783e-17,True,,0.272,0.2909999999999999
111,111,2026-08-12T05:38:57Z,60095495207,1,Single-symbol summary,0.544,0.271,0.273,0.0,True,,0.291,0.27599999999999997
112,112,2026-08-12T05:48:57Z,60639957737,1,Single-symbol summary,0.7,0.388,0.312,-5.551115123125783e-17,True,,0.291,0.27599999999999997
113,113,2026-08-12T05:58:57Z,61187361357,1,Single-symbol summary,0.656,0.335,0.321,0.0,True,,0.291,0.288
114,114,2026-08-12T06:08:57Z,61731139656,1,Single-symbol summary,0.567,0.291,0.276,-5.551115123125783e-17,True,,0.291,0.288
115,115,2026-08-12T06:18:57Z,62279567684,1,Single-symbol summary,0.623,0.321,0.302,0.0,True,,0.291,0.288
116,116,2026-08-12T06:28:57Z,62825580983,1,Single-symbol summary,0.579,0.204,0.375,0.0,True,,0.211,0.356
117,117,2026-08-12T06:38:57Z,63370928291,1,Single-symbol summary,0.55,0.117,0.433,5.551115123125783e-17,True,,0.211,0.356
118,118,2026-08-12T06:48:57Z,63914819184,1,Single-symbol summary,0.535,0.211,0.324,5.551115123125783e-17,True,,0.204,0.3460000000000001
119,119,2026-08-12T06:58:57Z,64455955665,1,Single-symbol summary,0.417,0.114,0.303,0.0,True,,0.204,0.3460000000000001
120,120,2026-08-12T07:08:57Z,65003623242,1,Single-symbol summary,0.78,0.443,0.337,0.0,True,,0.211,0.3390000000000001
121,121,2026-08-12T07:18:57Z,65557201130,1,Single-symbol summary,0.458,0.161,0.297,5.551115123125783e-17,True,,0.299,0.336
122,122,2026-08-12T07:28:57Z,66099065156,1,Single-symbol summary,0.635,0.299,0.336,0.0,True,,0.353,0.35
123,123,2026-08-12T07:38:57Z,66642452422,1,Single-symbol summary,0.749,0.416,0.333,0.0,True,,0.353,0.35
124,124,2026-08-12T07:48:57Z,67182421438,1,Single-symbol summary,0.804,0.471,0.333,5.551115123125783e-17,True,,0.299,0.36600000000000005
125,125,2026-08-12T07:58:57Z,67727916114,1,Single-symbol summary,0.703,0.353,0.35,0.0,True,,0.344,0.32100000000000006
126,126,2026-08-12T08:08:57Z,68267471024,1,Single-symbol summary,0.59,0.283,0.307,0.0,True,,0.344,0.32100000000000006
127,127,2026-08-12T08:18:57Z,68802200323,1,Single-symbol summary,0.665,0.063,0.602,1.1102230246251565e-16,True,,0.344,0.32100000000000006
128,128,2026-08-12T08:28:57Z,69346329844,1,Single-symbol summary,0.665,0.344,0.321,5.551115123125783e-17,True,,0.283,0.38200000000000006
129,129,2026-08-12T08:38:57Z,69897183390,1,Single-symbol summary,0.578,0.241,0.337,-5.551115123125783e-17,True,,0.283,0.38200000000000006
130,130,2026-08-12T08:48:57Z,70428726736,1,Single-symbol summary,0.72,0.385,0.335,-5.551115123125783e-17,True,,0.344,0.32100000000000006
131,131,2026-08-12T08:58:57Z,70979357463,1,Single-symbol summary,0.579,0.251,0.328,-5.551115123125783e-17,True,,0.376,0.344
132,132,2026-08-12T09:08:57Z,71519985704,1,Single-symbol summary,0.746,0.415,0.331,0.0,True,,0.385,0.3400000000000001
133,133,2026-08-12T09:18:57Z,72058735690,1,Single-symbol summary,0.981,0.376,0.605,0.0,True,,0.405,0.34099999999999997
134,134,2026-08-12T09:28:57Z,72596851158,1,Single-symbol summary,0.787,0.438,0.349,5.551115123125783e-17,True,,0.405,0.351
135,135,2026-08-12T09:38:57Z,73126410994,1,Single-symbol summary,0.725,0.405,0.32,-5.551115123125783e-17,True,,0.405,0.354
136,136,2026-08-12T09:48:57Z,73663989869,1,Single-symbol summary,0.756,0.429,0.327,0.0,True,,0.405,0.358
137,137,2026-08-12T09:58:57Z,74210734717,1,Single-symbol summary,0.759,0.396,0.363,0.0,True,,0.405,0.354
138,138,2026-08-12T10:08:57Z,74754170511,1,Single-symbol summary,0.763,0.392,0.371,0.0,True,,0.396,0.36
139,139,2026-08-12T10:18:57Z,75292467460,1,Single-symbol summary,0.97,0.415,0.555,-1.1102230246251565e-16,True,,0.396,0.363
140,140,2026-08-12T10:28:57Z,75839048271,1,Single-symbol summary,0.713,0.351,0.362,0.0,True,,0.392,0.367
141,141,2026-08-12T10:38:57Z,76379287699,1,Single-symbol summary,0.648,0.314,0.334,0.0,True,,0.392,0.371
142,142,2026-08-12T10:48:57Z,76921212731,1,Single-symbol summary,0.907,0.543,0.364,0.0,True,,0.351,0.362
143,143,2026-08-12T10:58:57Z,77474274891,1,Single-symbol summary,0.646,0.292,0.354,5.551115123125783e-17,True,,0.34,0.3559999999999999
144,144,2026-08-12T11:08:57Z,78020239558,1,Single-symbol summary,0.809,0.393,0.416,5.551115123125783e-17,True,,0.34,0.3559999999999999
145,145,2026-08-12T11:18:57Z,78556038400,1,Single-symbol summary,0.696,0.34,0.356,-5.551115123125783e-17,True,,0.34,0.3559999999999999
146,146,2026-08-12T11:28:57Z,79095605628,1,Single-symbol summary,0.56,0.172,0.388,5.551115123125783e-17,True,,0.34,0.3559999999999999
147,147,2026-08-12T11:38:57Z,79642025309,1,Single-symbol summary,0.703,0.359,0.344,0.0,True,,0.359,0.344
148,148,2026-08-12T11:48:57Z,80174044570,1,Single-symbol summary,0.575,0.244,0.331,-5.551115123125783e-17,True,,0.359,0.344
149,149,2026-08-12T11:58:57Z,80719696641,1,Single-symbol summary,0.777,0.435,0.342,0.0,True,,0.422,0.3489999999999999
150,150,2026-08-12T12:08:57Z,81262895664,1,Single-symbol summary,0.953,0.566,0.387,0.0,True,,0.422,0.3489999999999999
151,151,2026-08-12T12:18:57Z,81806775602,1,Single-symbol summary,0.803,0.451,0.352,5.551115123125783e-17,True,,0.422,0.3489999999999999
152,152,2026-08-12T12:28:57Z,82353792598,1,Single-symbol summary,0.771,0.422,0.349,5.551115123125783e-17,True,,0.422,0.3489999999999999
153,153,2026-08-12T12:38:57Z,82888706006,1,Single-symbol summary,0.754,0.4,0.354,0.0,True,,0.401,0.36
154,154,2026-08-12T12:48:57Z,83443900439,1,Single-symbol summary,0.757,0.347,0.41,5.551115123125783e-17,True,,0.4,0.3569999999999999
155,155,2026-08-12T12:58:57Z,83986715739,1,Single-symbol summary,0.761,0.401,0.36,0.0,True,,0.347,0.40700000000000003
156,156,2026-08-12T13:08:57Z,84528180207,1,Single-symbol summary,0.702,0.336,0.366,-5.551115123125783e-17,True,,0.336,0.39199999999999996
157,157,2026-08-12T13:18:57Z,85066604156,1,Single-symbol summary,1.142,0.43,0.712,0.0,False,above per-query Tukey upper fence on end-to-end result,,
158,158,2026-08-12T13:28:57Z,85620033283,1,Single-symbol summary,0.728,0.286,0.442,0.0,True,,0.336,0.39199999999999996
159,159,2026-08-12T13:38:57Z,86152994817,1,Single-symbol summary,0.659,0.236,0.423,5.551115123125783e-17,True,,0.336,0.39199999999999996
160,160,2026-08-12T13:48:57Z,86704737177,1,Single-symbol summary,0.476,0.104,0.372,0.0,True,,0.286,0.424
161,161,2026-08-12T13:58:57Z,87242847941,1,Single-symbol summary,0.791,0.412,0.379,5.551115123125783e-17,True,,0.286,0.442
162,162,2026-08-12T14:08:57Z,87786454820,1,Single-symbol summary,0.731,0.386,0.345,0.0,True,,0.367,0.364
163,163,2026-08-12T14:18:57Z,88330971978,1,Single-symbol summary,0.71,0.145,0.565,0.0,True,,0.367,0.364
164,164,2026-08-12T14:28:57Z,88873955947,1,Single-symbol summary,0.742,0.367,0.375,0.0,True,,0.367,0.364
165,165,2026-08-12T14:38:57Z,89419840113,1,Single-symbol summary,0.764,0.406,0.358,0.0,True,,0.367,0.364
166,166,2026-08-12T14:48:57Z,89959994694,1,Single-symbol summary,0.467,0.094,0.373,0.0,True,,0.367,0.375
167,167,2026-08-12T14:58:57Z,90505068849,1,Single-symbol summary,0.487,0.115,0.372,0.0,True,,0.367,0.384
168,168,2026-08-12T15:08:57Z,91061606220,1,Single-symbol summary,0.868,0.465,0.403,-5.551115123125783e-17,True,,0.406,0.358
169,169,2026-08-12T15:18:57Z,91608517197,1,Single-symbol summary,0.901,0.492,0.409,5.551115123125783e-17,True,,0.422,0.416
170,170,2026-08-12T15:28:57Z,92153494394,1,Single-symbol summary,0.751,0.363,0.388,0.0,True,,0.422,0.416
171,171,2026-08-12T15:38:57Z,92698030525,1,Single-symbol summary,0.838,0.422,0.416,0.0,True,,0.422,0.416
172,172,2026-08-12T15:48:57Z,93242607069,1,Single-symbol summary,0.842,0.432,0.41,0.0,True,,0.422,0.416
173,173,2026-08-12T15:58:57Z,93787407199,1,Single-symbol summary,0.717,0.338,0.379,-5.551115123125783e-17,True,,0.363,0.388
174,174,2026-08-12T16:08:57Z,94330065240,1,Single-symbol summary,0.525,0.139,0.386,0.0,True,,0.338,0.37900000000000006
175,175,2026-08-12T16:18:57Z,94877773840,1,Single-symbol summary,1.122,0.555,0.567,1.1102230246251565e-16,True,,0.256,0.44199999999999995
176,176,2026-08-12T16:28:57Z,95419508344,1,Single-symbol summary,0.698,0.196,0.502,0.0,True,,0.256,0.44199999999999995
177,177,2026-08-12T16:38:57Z,95972724266,1,Single-symbol summary,0.666,0.256,0.41,5.551115123125783e-17,True,,0.256,0.44199999999999995
178,178,2026-08-12T16:48:57Z,96513946374,1,Single-symbol summary,0.592,0.195,0.397,-5.551115123125783e-17,True,,0.409,0.438
179,179,2026-08-12T16:58:57Z,97064716964,1,Single-symbol summary,0.86,0.445,0.415,0.0,True,,0.365,0.4
180,180,2026-08-12T17:08:57Z,97615350266,1,Single-symbol summary,0.942,0.483,0.459,-5.551115123125783e-17,True,,0.409,0.438
181,181,2026-08-12T17:18:57Z,98161784620,1,Single-symbol summary,1.475,0.589,0.886,1.1102230246251565e-16,False,above per-query Tukey upper fence on end-to-end result,,
182,182,2026-08-12T17:28:57Z,98700378757,1,Single-symbol summary,0.847,0.409,0.438,0.0,True,,0.427,0.42649999999999993
183,183,2026-08-12T17:38:57Z,99259158207,1,Single-symbol summary,0.765,0.365,0.4,0.0,True,,0.445,0.415
184,184,2026-08-12T17:48:57Z,99801890611,1,Single-symbol summary,0.864,0.459,0.405,-5.551115123125783e-17,True,,0.434,0.42150000000000004
2,2,2026-08-11T11:28:57Z,532996784,2,Watchlist summary,0.134,0.057,0.077,1.3877787807814457e-17,True,,0.11199999999999999,0.14600000000000002
3,3,2026-08-11T11:38:57Z,1108625165,2,Watchlist summary,0.292,0.168,0.124,-2.7755575615628914e-17,True,,0.15,0.14200000000000004
4,4,2026-08-11T11:48:57Z,1658912507,2,Watchlist summary,0.224,0.074,0.15,2.7755575615628914e-17,True,,0.133,0.16500000000000004
5,5,2026-08-11T11:58:57Z,2217147353,2,Watchlist summary,0.304,0.15,0.154,0.0,True,,0.13,0.174
6,6,2026-08-11T12:08:57Z,2786291244,2,Watchlist summary,0.391,0.162,0.229,0.0,True,,0.13,0.197
7,7,2026-08-11T12:18:57Z,3343738155,2,Watchlist summary,0.327,0.116,0.211,2.7755575615628914e-17,True,,0.12,0.242
8,8,2026-08-11T12:28:57Z,3899391577,2,Watchlist summary,0.362,0.13,0.232,-2.7755575615628914e-17,True,,0.122,0.24
9,9,2026-08-11T12:38:57Z,4448004794,2,Watchlist summary,0.417,0.118,0.299,0.0,True,,0.12,0.242
10,10,2026-08-11T12:48:57Z,5002254267,2,Watchlist summary,0.456,0.12,0.336,0.0,True,,0.118,0.21999999999999997
11,11,2026-08-11T12:58:57Z,5553730140,2,Watchlist summary,0.338,0.122,0.216,2.7755575615628914e-17,True,,0.118,0.21999999999999997
12,12,2026-08-11T13:08:57Z,6107183801,2,Watchlist summary,0.327,0.076,0.251,0.0,True,,0.089,0.24899999999999997
13,13,2026-08-11T13:18:57Z,6662885451,2,Watchlist summary,0.332,0.034,0.298,5.551115123125783e-17,True,,0.089,0.24899999999999997
14,14,2026-08-11T13:28:57Z,7220407062,2,Watchlist summary,0.323,0.041,0.282,5.551115123125783e-17,True,,0.089,0.24899999999999997
15,15,2026-08-11T13:38:57Z,7772453021,2,Watchlist summary,0.45,0.089,0.361,0.0,True,,0.089,0.361
16,16,2026-08-11T13:48:57Z,8327660844,2,Watchlist summary,0.516,0.163,0.353,0.0,True,,0.09,0.41300000000000003
17,17,2026-08-11T13:58:57Z,8869790384,2,Watchlist summary,0.653,0.226,0.427,5.551115123125783e-17,True,,0.09,0.42600000000000005
18,18,2026-08-11T14:08:57Z,9416167217,2,Watchlist summary,0.57,0.164,0.406,-1.1102230246251565e-16,True,,0.163,0.364
