source_line,iteration,observed_at,base_table_rows,lag_seconds,lag_minutes,plotted_lag_minutes,refresh_watermark,phase
117,117,2026-08-10T17:20:42.721Z,6966060127,287.926397,4.798773283,4.798773283,2026-08-10T17:15:54.795Z,active
123,123,2026-08-10T17:26:42.721Z,7329557724,308.992398,5.149873300,5.149873300,2026-08-10T17:21:33.729Z,active
128,128,2026-08-10T17:31:42.721Z,7622459226,279.895401,4.664923350,4.664923350,2026-08-10T17:27:02.826Z,active
133,133,2026-08-10T17:36:42.721Z,7925276248,269.749404,4.495823400,4.495823400,2026-08-10T17:32:12.972Z,active
138,138,2026-08-10T17:41:42.721Z,8227858282,260.794407,4.346573450,4.346573450,2026-08-10T17:37:21.927Z,active
144,144,2026-08-10T17:47:42.721Z,8591331927,312.210404,5.203506733,5.203506733,2026-08-10T17:42:30.511Z,active
149,149,2026-08-10T17:52:42.721Z,8883710157,301.229396,5.020489933,5.020489933,2026-08-10T17:47:41.492Z,active
154,154,2026-08-10T17:57:42.721Z,9186292191,291.913400,4.865223333,4.865223333,2026-08-10T17:52:50.808Z,active
159,159,2026-08-10T18:02:42.721Z,9488509029,280.296405,4.671606750,4.671606750,2026-08-10T17:58:02.425Z,active
164,164,2026-08-10T18:07:42.721Z,9781410531,272.124400,4.535406667,4.535406667,2026-08-10T18:03:10.597Z,active
170,170,2026-08-10T18:13:42.721Z,10143971986,321.068415,5.351140250,5.351140250,2026-08-10T18:08:21.653Z,active
175,175,2026-08-10T18:18:42.721Z,10447338928,300.602399,5.010039983,5.010039983,2026-08-10T18:13:42.119Z,active
180,180,2026-08-10T18:23:42.721Z,10749659326,291.883402,4.864723367,4.864723367,2026-08-10T18:18:50.838Z,active
185,185,2026-08-10T18:28:42.721Z,11043281448,276.559397,4.609323283,4.609323283,2026-08-10T18:24:06.162Z,active
190,190,2026-08-10T18:33:42.721Z,11345863482,265.761402,4.429356700,4.429356700,2026-08-10T18:29:16.960Z,active
196,196,2026-08-10T18:39:42.721Z,11709454499,308.308398,5.138473300,5.138473300,2026-08-10T18:34:34.413Z,active
201,201,2026-08-10T18:44:42.721Z,12001571093,295.812398,4.930206633,4.930206633,2026-08-10T18:39:46.909Z,active
206,206,2026-08-10T18:49:42.721Z,12304545581,291.309397,4.855156617,4.855156617,2026-08-10T18:44:51.412Z,active
211,211,2026-08-10T18:54:42.721Z,12607475470,279.277400,4.654623333,4.654623333,2026-08-10T18:50:03.444Z,active
216,216,2026-08-10T18:59:42.721Z,12910057504,267.593401,4.459890017,4.459890017,2026-08-10T18:55:15.128Z,active
222,222,2026-08-10T19:05:42.721Z,13263886850,310.776401,5.179606683,5.179606683,2026-08-10T19:00:31.945Z,active
227,227,2026-08-10T19:10:42.721Z,13566730520,300.677396,5.011289933,5.011289933,2026-08-10T19:05:42.044Z,active
232,232,2026-08-10T19:15:42.721Z,13869290609,291.463399,4.857723317,4.857723317,2026-08-10T19:10:51.258Z,active
237,237,2026-08-10T19:20:42.721Z,14161799657,281.933397,4.698889950,4.698889950,2026-08-10T19:16:00.788Z,active
242,242,2026-08-10T19:25:42.721Z,14464718880,251.803407,4.196723450,4.196723450,2026-08-10T19:21:30.918Z,active
248,248,2026-08-10T19:31:42.721Z,14828916192,310.014403,5.166906717,5.166906717,2026-08-10T19:26:32.707Z,active
253,253,2026-08-10T19:36:42.721Z,15121131896,286.069401,4.767823350,4.767823350,2026-08-10T19:31:56.652Z,active
258,258,2026-08-10T19:41:42.721Z,15423321476,282.062399,4.701039983,4.701039983,2026-08-10T19:37:00.659Z,active
263,263,2026-08-10T19:46:42.721Z,15726426782,260.905399,4.348423317,4.348423317,2026-08-10T19:42:21.816Z,active
269,269,2026-08-10T19:52:42.721Z,16089752674,318.737399,5.312289983,5.312289983,2026-08-10T19:47:23.984Z,active
274,274,2026-08-10T19:57:42.721Z,16382392540,304.726401,5.078773350,5.078773350,2026-08-10T19:52:37.995Z,active
280,280,2026-08-10T20:03:42.721Z,16745924155,352.106405,5.868440083,5.868440083,2026-08-10T19:57:50.615Z,active
285,285,2026-08-10T20:08:42.721Z,17049291097,297.091400,4.951523333,4.951523333,2026-08-10T20:03:45.630Z,active
291,291,2026-08-10T20:14:42.721Z,17402555707,321.346397,5.355773283,5.355773283,2026-08-10T20:09:21.375Z,active
296,296,2026-08-10T20:19:42.721Z,17704876105,292.686399,4.878106650,4.878106650,2026-08-10T20:14:50.035Z,active
301,301,2026-08-10T20:24:42.721Z,18008545549,288.803396,4.813389933,4.813389933,2026-08-10T20:19:53.918Z,active
306,306,2026-08-10T20:29:42.721Z,18301054597,277.003396,4.616723267,4.616723267,2026-08-10T20:25:05.718Z,active
311,311,2026-08-10T20:34:42.721Z,18604029085,257.841402,4.297356700,4.297356700,2026-08-10T20:30:24.880Z,active
317,317,2026-08-10T20:40:42.721Z,18966535440,307.282400,5.121373333,5.121373333,2026-08-10T20:35:35.439Z,active
322,322,2026-08-10T20:45:42.721Z,19269771564,296.075404,4.934590067,4.934590067,2026-08-10T20:40:46.646Z,active
327,327,2026-08-10T20:50:42.721Z,19563003625,281.067395,4.684456583,4.684456583,2026-08-10T20:46:01.654Z,active
332,332,2026-08-10T20:55:42.721Z,19865847295,263.721405,4.395356750,4.395356750,2026-08-10T20:51:19.000Z,active
338,338,2026-08-10T21:01:42.721Z,20229301808,305.489398,5.091489967,5.091489967,2026-08-10T20:56:37.232Z,active
343,343,2026-08-10T21:06:42.721Z,20522334128,296.167401,4.936123350,4.936123350,2026-08-10T21:01:46.554Z,active
348,348,2026-08-10T21:11:42.721Z,20824262072,289.038399,4.817306650,4.817306650,2026-08-10T21:06:53.683Z,active
353,353,2026-08-10T21:16:42.721Z,21126889276,283.686401,4.728106683,4.728106683,2026-08-10T21:11:59.035Z,active
358,358,2026-08-10T21:21:42.721Z,21430387036,274.743401,4.579056683,4.579056683,2026-08-10T21:17:07.978Z,active
363,363,2026-08-10T21:26:42.721Z,21722320805,270.315401,4.505256683,4.505256683,2026-08-10T21:22:12.406Z,active
369,369,2026-08-10T21:32:42.721Z,22086248108,318.979400,5.316323333,5.316323333,2026-08-10T21:27:23.742Z,active
374,374,2026-08-10T21:37:42.721Z,22388960960,302.603397,5.043389950,5.043389950,2026-08-10T21:32:40.118Z,active
379,379,2026-08-10T21:42:42.721Z,22681517788,293.460405,4.891006750,4.891006750,2026-08-10T21:37:49.261Z,active
384,384,2026-08-10T21:47:42.721Z,22984623094,276.153401,4.602556683,4.602556683,2026-08-10T21:43:06.568Z,active
389,389,2026-08-10T21:52:42.721Z,23287205128,270.576401,4.509606683,4.509606683,2026-08-10T21:48:12.145Z,active
395,395,2026-08-10T21:58:42.721Z,23641310068,317.142400,5.285706667,5.285706667,2026-08-10T21:53:25.579Z,active
400,400,2026-08-10T22:03:42.721Z,23945063195,296.336400,4.938940000,4.938940000,2026-08-10T21:58:46.385Z,active
405,405,2026-08-10T22:08:42.721Z,24247252775,279.802398,4.663373300,4.663373300,2026-08-10T22:04:02.919Z,active
410,410,2026-08-10T22:13:42.721Z,24549965627,270.482398,4.508039967,4.508039967,2026-08-10T22:09:12.239Z,active
416,416,2026-08-10T22:19:42.721Z,24903972687,323.124400,5.385406667,5.385406667,2026-08-10T22:14:19.597Z,active
421,421,2026-08-10T22:24:42.721Z,25206685539,304.526400,5.075440000,5.075440000,2026-08-10T22:19:38.195Z,active
426,426,2026-08-10T22:29:42.721Z,25509695366,293.178398,4.886306633,4.886306633,2026-08-10T22:24:49.543Z,active
431,431,2026-08-10T22:34:42.721Z,25802727686,276.500404,4.608340067,4.608340067,2026-08-10T22:30:06.221Z,active
436,436,2026-08-10T22:39:42.721Z,26105712200,273.435400,4.557256667,4.557256667,2026-08-10T22:35:09.286Z,active
441,441,2026-08-10T22:44:42.721Z,26408425052,259.244401,4.320740017,4.320740017,2026-08-10T22:40:23.477Z,active
447,447,2026-08-10T22:50:42.721Z,26762443219,310.877399,5.181289983,5.181289983,2026-08-10T22:45:31.844Z,active
452,452,2026-08-10T22:55:42.721Z,27064894435,304.868400,5.081140000,5.081140000,2026-08-10T22:50:37.853Z,active
457,457,2026-08-10T23:00:42.721Z,27367607287,299.204398,4.986739967,4.986739967,2026-08-10T22:55:43.517Z,active
462,462,2026-08-10T23:05:42.721Z,27660291486,289.464399,4.824406650,4.824406650,2026-08-10T23:00:53.257Z,active
467,467,2026-08-10T23:10:42.721Z,27963527610,275.601398,4.593356633,4.593356633,2026-08-10T23:06:07.120Z,active
472,472,2026-08-10T23:15:42.721Z,28266333865,267.784402,4.463073367,4.463073367,2026-08-10T23:11:14.937Z,active
478,478,2026-08-10T23:21:42.721Z,28629746269,310.718403,5.178640050,5.178640050,2026-08-10T23:16:32.003Z,active
483,483,2026-08-10T23:26:42.721Z,28923432679,298.026398,4.967106633,4.967106633,2026-08-10T23:21:44.695Z,active
488,488,2026-08-10T23:31:42.721Z,29225520782,279.369398,4.656156633,4.656156633,2026-08-10T23:27:03.352Z,active
493,493,2026-08-10T23:36:42.721Z,29528756906,264.344400,4.405740000,4.405740000,2026-08-10T23:32:18.377Z,active
499,499,2026-08-10T23:42:42.721Z,29882340342,309.131402,5.152190033,5.152190033,2026-08-10T23:37:33.590Z,active
504,504,2026-08-10T23:47:42.721Z,30185707284,293.438400,4.890640000,4.890640000,2026-08-10T23:42:49.283Z,active
509,509,2026-08-10T23:52:42.721Z,30488350869,289.688401,4.828140017,4.828140017,2026-08-10T23:47:53.033Z,active
514,514,2026-08-10T23:57:42.721Z,30781514007,273.432399,4.557206650,4.557206650,2026-08-10T23:53:09.289Z,active
519,519,2026-08-11T00:02:42.721Z,31084488495,261.936404,4.365606733,4.365606733,2026-08-10T23:58:20.785Z,active
525,525,2026-08-11T00:08:42.721Z,31447144545,310.120401,5.168673350,5.168673350,2026-08-11T00:03:32.601Z,active
530,530,2026-08-11T00:13:42.721Z,31740830955,297.967400,4.966123333,4.966123333,2026-08-11T00:08:44.754Z,active
535,535,2026-08-11T00:18:42.721Z,32043861131,291.868400,4.864473333,4.864473333,2026-08-11T00:13:50.853Z,active
540,540,2026-08-11T00:23:42.721Z,32347489709,279.166398,4.652773300,4.652773300,2026-08-11T00:19:03.555Z,active
545,545,2026-08-11T00:28:42.721Z,32650601336,271.161398,4.519356633,4.519356633,2026-08-11T00:24:11.560Z,active
550,550,2026-08-11T00:33:42.721Z,32943502838,257.999400,4.299990000,4.299990000,2026-08-11T00:29:24.722Z,active
556,556,2026-08-11T00:39:42.721Z,33307157761,311.595399,5.193256650,5.193256650,2026-08-11T00:34:31.126Z,active
561,561,2026-08-11T00:44:42.721Z,33610132249,303.561401,5.059356683,5.059356683,2026-08-11T00:39:39.160Z,active
566,566,2026-08-11T00:49:42.721Z,33902630697,297.100398,4.951673300,4.951673300,2026-08-11T00:44:45.621Z,active
571,571,2026-08-11T00:54:42.721Z,34206081915,286.311401,4.771856683,4.771856683,2026-08-11T00:49:56.410Z,active
576,576,2026-08-11T00:59:42.721Z,34508271495,278.930397,4.648839950,4.648839950,2026-08-11T00:55:03.791Z,active
581,581,2026-08-11T01:04:42.721Z,34801233262,274.637405,4.577290083,4.577290083,2026-08-11T01:00:08.084Z,active
587,587,2026-08-11T01:10:42.721Z,35164623412,315.066401,5.251106683,5.251106683,2026-08-11T01:05:27.655Z,active
592,592,2026-08-11T01:15:42.721Z,35467597900,296.081400,4.934690000,4.934690000,2026-08-11T01:10:46.640Z,active
597,597,2026-08-11T01:20:42.721Z,35760783899,291.260397,4.854339950,4.854339950,2026-08-11T01:15:51.461Z,active
602,602,2026-08-11T01:25:42.721Z,36063889205,273.781407,4.563023450,4.563023450,2026-08-11T01:21:08.940Z,active
608,608,2026-08-11T01:31:42.721Z,36427267420,320.153400,5.335890000,5.335890000,2026-08-11T01:26:22.568Z,active
614,614,2026-08-11T01:37:42.721Z,36790679824,334.791397,5.579856617,5.579856617,2026-08-11T01:32:07.930Z,active
619,619,2026-08-11T01:42:42.721Z,37083337509,283.806399,4.730106650,4.730106650,2026-08-11T01:37:58.915Z,active
624,624,2026-08-11T01:47:42.721Z,37386442815,269.000400,4.483340000,4.483340000,2026-08-11T01:43:13.721Z,active
629,629,2026-08-11T01:52:42.721Z,37688922238,269.480397,4.491339950,4.491339950,2026-08-11T01:48:13.241Z,active
634,634,2026-08-11T01:57:42.721Z,37981823740,260.026398,4.333773300,4.333773300,2026-08-11T01:53:22.695Z,active
640,640,2026-08-11T02:03:42.721Z,38345096657,313.431402,5.223856700,5.223856700,2026-08-11T01:58:29.290Z,active
645,645,2026-08-11T02:08:42.721Z,38648332781,301.534403,5.025573383,5.025573383,2026-08-11T02:03:41.187Z,active
650,650,2026-08-11T02:13:42.721Z,38940711011,291.664401,4.861073350,4.861073350,2026-08-11T02:08:51.057Z,active
655,655,2026-08-11T02:18:42.721Z,39243471824,279.149401,4.652490017,4.652490017,2026-08-11T02:14:03.572Z,active
660,660,2026-08-11T02:23:42.721Z,39545923040,272.558399,4.542639983,4.542639983,2026-08-11T02:19:10.163Z,active
665,665,2026-08-11T02:28:42.721Z,39848212225,265.401399,4.423356650,4.423356650,2026-08-11T02:24:17.320Z,active
671,671,2026-08-11T02:34:42.721Z,40200374281,307.976401,5.132940017,5.132940017,2026-08-11T02:29:34.745Z,active
676,676,2026-08-11T02:39:42.721Z,40503144708,292.794406,4.879906767,4.879906767,2026-08-11T02:34:49.927Z,active
681,681,2026-08-11T02:44:42.721Z,40806105725,277.057400,4.617623333,4.617623333,2026-08-11T02:40:05.664Z,active
686,686,2026-08-11T02:49:42.721Z,41099268863,271.571400,4.526190000,4.526190000,2026-08-11T02:45:11.150Z,active
692,692,2026-08-11T02:55:42.721Z,41463084748,319.436398,5.323939967,5.323939967,2026-08-11T02:50:23.285Z,active
697,697,2026-08-11T03:00:42.721Z,41765666782,307.172402,5.119540033,5.119540033,2026-08-11T02:55:35.549Z,active
702,702,2026-08-11T03:05:42.721Z,42058437466,283.610401,4.726840017,4.726840017,2026-08-11T03:00:59.111Z,active
708,708,2026-08-11T03:11:42.721Z,42422328007,313.299399,5.221656650,5.221656650,2026-08-11T03:06:29.422Z,active
713,713,2026-08-11T03:16:42.721Z,42724910041,304.944413,5.082406883,5.082406883,2026-08-11T03:11:37.777Z,active
718,718,2026-08-11T03:21:42.721Z,43018535350,285.646401,4.760773350,4.760773350,2026-08-11T03:16:57.075Z,active
723,723,2026-08-11T03:26:42.721Z,43320920890,278.266400,4.637773333,4.637773333,2026-08-11T03:22:04.455Z,active
729,729,2026-08-11T03:32:42.721Z,43684763111,318.917394,5.315289900,5.315289900,2026-08-11T03:27:23.804Z,active
735,735,2026-08-11T03:38:42.721Z,44048175515,365.985399,6.099756650,6.099756650,2026-08-11T03:32:36.736Z,active
740,740,2026-08-11T03:43:42.721Z,44341242636,305.434401,5.090573350,5.090573350,2026-08-11T03:38:37.287Z,active
745,745,2026-08-11T03:48:42.721Z,44644347942,292.518397,4.875306617,4.875306617,2026-08-11T03:43:50.203Z,active
750,750,2026-08-11T03:53:42.721Z,44947510982,287.570399,4.792839983,4.792839983,2026-08-11T03:48:55.151Z,active
755,755,2026-08-11T03:58:42.721Z,45240412484,266.597401,4.443290017,4.443290017,2026-08-11T03:54:16.124Z,active
760,760,2026-08-11T04:03:42.721Z,45543517790,262.785406,4.379756767,4.379756767,2026-08-11T03:59:19.936Z,active
766,766,2026-08-11T04:09:42.721Z,45907726604,309.540400,5.159006667,5.159006667,2026-08-11T04:04:33.181Z,active
771,771,2026-08-11T04:14:42.721Z,46199581562,301.731400,5.028856667,5.028856667,2026-08-11T04:09:40.990Z,active
776,776,2026-08-11T04:19:42.721Z,46502544396,296.249400,4.937490000,4.937490000,2026-08-11T04:14:46.472Z,active
781,781,2026-08-11T04:24:42.721Z,46805853812,287.821406,4.797023433,4.797023433,2026-08-11T04:19:54.900Z,active
786,786,2026-08-11T04:29:42.721Z,47098557560,276.972399,4.616206650,4.616206650,2026-08-11T04:25:05.749Z,active
792,792,2026-08-11T04:35:42.721Z,47462624054,318.354403,5.305906717,5.305906717,2026-08-11T04:30:24.367Z,active
797,797,2026-08-11T04:40:42.721Z,47766178171,302.547398,5.042456633,5.042456633,2026-08-11T04:35:40.174Z,active
802,802,2026-08-11T04:45:42.721Z,48058996980,291.951399,4.865856650,4.865856650,2026-08-11T04:40:50.770Z,active
807,807,2026-08-11T04:50:42.721Z,48361971468,269.583398,4.493056633,4.493056633,2026-08-11T04:46:13.138Z,active
813,813,2026-08-11T04:56:42.721Z,48726039375,314.154405,5.235906750,5.235906750,2026-08-11T04:51:28.567Z,active
818,818,2026-08-11T05:01:42.721Z,49018417605,296.484399,4.941406650,4.941406650,2026-08-11T04:56:46.237Z,active
823,823,2026-08-11T05:06:42.721Z,49320854663,277.094399,4.618239983,4.618239983,2026-08-11T05:02:05.627Z,active
828,828,2026-08-11T05:11:42.721Z,49624614059,266.646399,4.444106650,4.444106650,2026-08-11T05:07:16.075Z,active
834,834,2026-08-11T05:17:42.721Z,49987441593,317.282399,5.288039983,5.288039983,2026-08-11T05:12:25.439Z,active
839,839,2026-08-11T05:22:42.721Z,50280162067,303.707399,5.061789983,5.061789983,2026-08-11T05:17:39.014Z,active
844,844,2026-08-11T05:27:42.721Z,50582482465,290.744397,4.845739950,4.845739950,2026-08-11T05:22:51.977Z,active
849,849,2026-08-11T05:32:42.721Z,50885920184,270.396401,4.506606683,4.506606683,2026-08-11T05:28:12.325Z,active
855,855,2026-08-11T05:38:42.721Z,51239782874,314.959403,5.249323383,5.249323383,2026-08-11T05:33:27.762Z,active
860,860,2026-08-11T05:43:42.721Z,51543032158,306.845398,5.114089967,5.114089967,2026-08-11T05:38:35.876Z,active
865,865,2026-08-11T05:48:42.721Z,51845745010,296.029403,4.933823383,4.933823383,2026-08-11T05:43:46.692Z,active
870,870,2026-08-11T05:53:42.721Z,52138384876,278.463399,4.641056650,4.641056650,2026-08-11T05:49:04.258Z,active
875,875,2026-08-11T05:58:42.721Z,52441646937,266.086402,4.434773367,4.434773367,2026-08-11T05:54:16.635Z,active
881,881,2026-08-11T06:04:42.721Z,52804405251,311.604398,5.193406633,5.193406633,2026-08-11T05:59:31.117Z,active
886,886,2026-08-11T06:09:42.721Z,53096991444,292.147406,4.869123433,4.869123433,2026-08-11T06:04:50.574Z,active
891,891,2026-08-11T06:14:42.721Z,53400358386,280.196406,4.669940100,4.669940100,2026-08-11T06:10:02.525Z,active
896,896,2026-08-11T06:19:42.721Z,53703825086,265.214399,4.420239983,4.420239983,2026-08-11T06:15:17.507Z,active
902,902,2026-08-11T06:25:42.721Z,54057033686,319.794399,5.329906650,5.329906650,2026-08-11T06:20:22.927Z,active
907,907,2026-08-11T06:30:42.721Z,54360662264,305.392411,5.089873517,5.089873517,2026-08-11T06:25:37.329Z,active
912,912,2026-08-11T06:35:42.721Z,54663668363,296.723400,4.945390000,4.945390000,2026-08-11T06:30:45.998Z,active
917,917,2026-08-11T06:40:42.721Z,54966642851,287.704399,4.795073317,4.795073317,2026-08-11T06:35:55.017Z,active
922,922,2026-08-11T06:45:42.721Z,55260086569,269.180400,4.486340000,4.486340000,2026-08-11T06:41:13.541Z,active
928,928,2026-08-11T06:51:42.721Z,55623760609,314.402400,5.240040000,5.240040000,2026-08-11T06:46:28.319Z,active
933,933,2026-08-11T06:56:42.721Z,55916893115,296.864398,4.947739967,4.947739967,2026-08-11T06:51:45.857Z,active
938,938,2026-08-11T07:01:42.721Z,56219736785,281.195404,4.686590067,4.686590067,2026-08-11T06:57:01.526Z,active
943,943,2026-08-11T07:06:42.721Z,56523412855,272.661410,4.544356833,4.544356833,2026-08-11T07:02:10.060Z,active
948,948,2026-08-11T07:11:42.721Z,56826387343,263.538400,4.392306667,4.392306667,2026-08-11T07:07:19.183Z,active
954,954,2026-08-11T07:17:42.721Z,57179072671,308.964402,5.149406700,5.149406700,2026-08-11T07:12:33.757Z,active
959,959,2026-08-11T07:22:42.721Z,57482447463,298.824398,4.980406633,4.980406633,2026-08-11T07:17:43.897Z,active
964,964,2026-08-11T07:27:42.721Z,57785814405,281.582400,4.693040000,4.693040000,2026-08-11T07:23:01.139Z,active
969,969,2026-08-11T07:32:42.721Z,58078876428,273.072416,4.551206933,4.551206933,2026-08-11T07:28:09.649Z,active
974,974,2026-08-11T07:37:42.721Z,58381196826,264.676398,4.411273300,4.411273300,2026-08-11T07:33:18.045Z,active
980,980,2026-08-11T07:43:42.721Z,58745405692,317.426401,5.290440017,5.290440017,2026-08-11T07:38:25.295Z,active
985,985,2026-08-11T07:48:42.721Z,59038176376,299.193399,4.986556650,4.986556650,2026-08-11T07:43:43.528Z,active
990,990,2026-08-11T07:53:42.721Z,59341054265,287.278399,4.787973317,4.787973317,2026-08-11T07:48:55.443Z,active
995,995,2026-08-11T07:58:42.721Z,59644682843,268.866400,4.481106667,4.481106667,2026-08-11T07:54:13.855Z,active
1001,1001,2026-08-11T08:04:42.721Z,59998313547,323.717398,5.395289967,5.395289967,2026-08-11T07:59:19.004Z,active
1006,1006,2026-08-11T08:09:42.721Z,60300110673,303.334400,5.055573333,5.055573333,2026-08-11T08:04:39.387Z,active
1012,1012,2026-08-11T08:15:42.721Z,60665041709,321.990400,5.366506667,5.366506667,2026-08-11T08:10:20.731Z,active
1017,1017,2026-08-11T08:20:42.721Z,60957681575,279.637398,4.660623300,4.660623300,2026-08-11T08:16:03.084Z,active
1023,1023,2026-08-11T08:26:42.721Z,61321102187,321.390416,5.356506933,5.356506933,2026-08-11T08:21:21.331Z,active
1028,1028,2026-08-11T08:31:42.721Z,61623945857,304.496403,5.074940050,5.074940050,2026-08-11T08:26:38.225Z,active
1033,1033,2026-08-11T08:36:42.721Z,61916856502,293.747400,4.895790000,4.895790000,2026-08-11T08:31:48.974Z,active
1038,1038,2026-08-11T08:41:42.721Z,62219700172,277.581397,4.626356617,4.626356617,2026-08-11T08:37:05.140Z,active
1043,1043,2026-08-11T08:46:42.721Z,62522543842,267.995403,4.466590050,4.466590050,2026-08-11T08:42:14.726Z,active
1049,1049,2026-08-11T08:52:42.721Z,62876536974,316.360404,5.272673400,5.272673400,2026-08-11T08:47:26.361Z,active
1054,1054,2026-08-11T08:57:42.721Z,63179249826,304.801406,5.080023433,5.080023433,2026-08-11T08:52:37.920Z,active
1059,1059,2026-08-11T09:02:42.721Z,63482107331,290.258402,4.837640033,4.837640033,2026-08-11T08:57:52.463Z,active
1064,1064,2026-08-11T09:07:42.721Z,63773962289,275.776401,4.596273350,4.596273350,2026-08-11T09:03:06.945Z,active
1069,1069,2026-08-11T09:12:42.721Z,64076713313,271.374402,4.522906700,4.522906700,2026-08-11T09:08:11.347Z,active
1075,1075,2026-08-11T09:18:42.721Z,64439733263,316.788399,5.279806650,5.279806650,2026-08-11T09:13:25.933Z,active
1080,1080,2026-08-11T09:23:42.721Z,64732503947,292.950396,4.882506600,4.882506600,2026-08-11T09:18:49.771Z,active
1085,1085,2026-08-11T09:28:42.721Z,65035228452,274.030399,4.567173317,4.567173317,2026-08-11T09:24:08.691Z,active
1090,1090,2026-08-11T09:33:42.721Z,65337418032,261.178398,4.352973300,4.352973300,2026-08-11T09:29:21.543Z,active
1096,1096,2026-08-11T09:39:42.721Z,65691189938,317.860399,5.297673317,5.297673317,2026-08-11T09:34:24.861Z,active
1101,1101,2026-08-11T09:44:42.721Z,65994164426,304.154405,5.069240083,5.069240083,2026-08-11T09:39:38.567Z,active
1106,1106,2026-08-11T09:49:42.721Z,66297138914,296.125400,4.935423333,4.935423333,2026-08-11T09:44:46.596Z,active
1111,1111,2026-08-11T09:54:42.721Z,66590125293,275.728399,4.595473317,4.595473317,2026-08-11T09:50:06.993Z,active
1117,1117,2026-08-11T10:00:42.721Z,66953668515,321.471402,5.357856700,5.357856700,2026-08-11T09:55:21.250Z,active
1122,1122,2026-08-11T10:05:42.721Z,67255358732,308.684401,5.144740017,5.144740017,2026-08-11T10:00:34.037Z,active
1127,1127,2026-08-11T10:10:42.721Z,67557999690,298.164398,4.969406633,4.969406633,2026-08-11T10:05:44.557Z,active
1132,1132,2026-08-11T10:15:42.721Z,67850258479,288.476396,4.807939933,4.807939933,2026-08-11T10:10:54.245Z,active
1137,1137,2026-08-11T10:20:42.721Z,68153412767,278.935423,4.648923717,4.648923717,2026-08-11T10:16:03.786Z,active
1142,1142,2026-08-11T10:25:42.721Z,68455981123,265.559398,4.425989967,4.425989967,2026-08-11T10:21:17.162Z,active
1147,1147,2026-08-11T10:30:42.721Z,68748505156,261.787404,4.363123400,4.363123400,2026-08-11T10:26:20.934Z,active
1153,1153,2026-08-11T10:36:42.721Z,69111792222,307.035402,5.117256700,5.117256700,2026-08-11T10:31:35.686Z,active
1158,1158,2026-08-11T10:41:42.721Z,69414505074,295.960400,4.932673333,4.932673333,2026-08-11T10:36:46.761Z,active
1163,1163,2026-08-11T10:46:42.721Z,69707340259,280.227402,4.670456700,4.670456700,2026-08-11T10:42:02.494Z,active
1168,1168,2026-08-11T10:51:42.721Z,70010445565,272.246399,4.537439983,4.537439983,2026-08-11T10:47:10.475Z,active
