task_type,object_type,object_ids,status,event,event_time,task_details
VacuumSort,table,229992,,Started,2026-08-13 15:41:30.136038,
VacuumSort,table,229992,Task suspended due to internal error,Suspended,2026-08-13 15:41:30.139238,
VacuumSort,table,229992,Task completed successfully,Completed,2026-08-13 15:44:11.172516,
VacuumSort,table,229992,,Queued,2026-08-13 15:46:31.090622,
VacuumSort,table,229992,,Started,2026-08-13 15:46:33.102868,
VacuumSort,table,229992,Task failed due to internal error,Failed,2026-08-13 15:46:33.109843,
VacuumSort,table,229992,,Queued,2026-08-13 15:52:57.433677,
VacuumSort,table,230000,,Queued,2026-08-13 15:52:57.435110,
VacuumSort,table,229992,,Started,2026-08-13 15:52:57.852947,
VacuumSort,table,229992,Task failed due to internal error,Failed,2026-08-13 15:52:57.856885,
VacuumSort,table,230000,,Started,2026-08-13 15:52:57.859110,
VacuumSort,table,230000,,Queued,2026-08-13 15:53:07.489855,
VacuumSort,table,230000,,Started,2026-08-13 15:53:07.680399,
VacuumSort,table,230000,Task suspended due to internal error,Suspended,2026-08-13 15:53:07.683460,
VacuumSort,table,230000,,Queued,2026-08-13 15:58:08.199367,
VacuumSort,table,230000,,Started,2026-08-13 15:58:09.206831,
VacuumSort,table,230000,Task suspended due to internal error,Suspended,2026-08-13 15:58:09.209936,
VacuumSort,table,230000,,Queued,2026-08-13 16:03:10.196203,
VacuumSort,table,230000,,Started,2026-08-13 16:03:10.202282,
VacuumSort,table,230000,Task suspended due to internal error,Suspended,2026-08-13 16:03:10.205465,
VacuumSort,table,230000,Task completed successfully,Completed,2026-08-13 16:03:55.599865,
VacuumSort,table,230000,,Queued,2026-08-13 16:04:17.598606,
VacuumSort,table,230000,,Started,2026-08-13 16:04:17.773532,
VacuumSort,table,230000,Task failed due to internal error,Failed,2026-08-13 16:04:17.780985,
VacuumSort,table,230000,,Queued,2026-08-13 16:08:11.093521,
VacuumSort,table,230000,,Started,2026-08-13 16:08:11.099548,
VacuumSort,table,230000,Task failed due to internal error,Failed,2026-08-13 16:08:11.106365,
VacuumSort,table,229992,,Queued,2026-08-13 23:34:25.047436,
VacuumSort,table,229992,,Started,2026-08-13 23:34:26.066913,
VacuumSort,table,229992,,Queued,2026-08-13 23:40:25.177888,
VacuumSort,table,229992,,Started,2026-08-13 23:40:26.262253,
VacuumSort,table,229992,Task suspended due to internal error,Suspended,2026-08-13 23:40:26.265623,
VacuumSort,table,229992,Task completed successfully,Completed,2026-08-13 23:45:07.794453,
VacuumSort,table,229992,,Queued,2026-08-13 23:45:27.015182,
VacuumSort,table,229992,,Started,2026-08-13 23:45:27.024735,
VacuumSort,table,229992,Task failed due to internal error,Failed,2026-08-13 23:45:27.029764,
VacuumSort,table,230000,,Queued,2026-08-13 23:52:25.375167,
VacuumSort,table,230000,,Started,2026-08-13 23:52:25.539455,
VacuumSort,table,230000,,Queued,2026-08-13 23:58:25.709719,
VacuumSort,table,230000,,Started,2026-08-13 23:58:25.730492,
VacuumSort,table,230000,Task suspended due to internal error,Suspended,2026-08-13 23:58:25.733550,
VacuumSort,table,230000,Task completed successfully,Completed,2026-08-13 23:59:17.578133,
VacuumSort,table,230000,,Queued,2026-08-14 00:03:26.136914,
VacuumSort,table,230000,,Started,2026-08-14 00:03:26.143133,
VacuumSort,table,230000,Task failed due to internal error,Failed,2026-08-14 00:03:26.152608,
