``completed_at,seconds_since_prev_refresh
2026-06-10T20:59:44.948Z,586
2026-06-10T20:49:58.260Z,603
2026-06-10T20:39:54.350Z,607
2026-06-10T20:29:46.400Z,625
2026-06-10T20:19:20.786Z,271
2026-06-10T20:14:49.300Z,619
2026-06-10T20:04:29.534Z,577
2026-06-10T19:54:52.041Z,613
2026-06-10T19:44:38.731Z,589
2026-06-10T19:34:48.943Z,380
2026-06-10T19:28:28.732Z,418
2026-06-10T19:21:30.218Z,578
2026-06-10T19:11:51.686Z,504
2026-06-10T19:03:26.906Z,616
2026-06-10T18:53:10.473Z,593
2026-06-10T18:43:17.417Z,294
2026-06-10T18:38:22.975Z,270
2026-06-10T18:33:52.678Z,548
2026-06-10T18:24:43.746Z,458
2026-06-10T18:17:04.895Z,281
2026-06-10T18:12:23.155Z,270
2026-06-10T18:07:52.345Z,403
2026-06-10T18:01:09.055Z,277
2026-06-10T17:56:31.315Z,596
2026-06-10T17:46:34.802Z,599
2026-06-10T17:36:35.179Z,599
2026-06-10T17:26:35.328Z,605
2026-06-10T17:16:29.762Z,471
2026-06-10T17:08:38.363Z,409
2026-06-10T17:01:49.079Z,554
2026-06-10T16:52:34.925Z,363
2026-06-10T16:46:31.750Z,577
2026-06-10T16:36:54.225Z,502
2026-06-10T16:28:32.067Z,542
2026-06-10T16:19:29.808Z,463
2026-06-10T16:11:46.698Z,564
2026-06-10T16:02:22.570Z,609
2026-06-10T15:52:12.910Z,290
2026-06-10T15:47:22.856Z,362
2026-06-10T15:41:20.648Z,586
2026-06-10T15:31:34.181Z,625
2026-06-10T15:21:08.720Z,306
2026-06-10T15:16:02.703Z,256
2026-06-10T15:11:46.526Z,435
2026-06-10T15:04:31.209Z,603
2026-06-10T14:54:28.097Z,598
2026-06-10T14:44:29.918Z,612
2026-06-10T14:34:17.568Z,305
2026-06-10T14:29:11.648Z,280
2026-06-10T14:24:31.540Z,584
2026-06-10T14:14:46.542Z,389
2026-06-10T14:08:16.686Z,293
2026-06-10T14:03:23.521Z,494
2026-06-10T13:55:08.782Z,338
2026-06-10T13:49:30.660Z,603
2026-06-10T13:39:26.849Z,568
2026-06-10T13:29:58.711Z,514
2026-06-10T13:21:24.321Z,606
2026-06-10T13:11:17.650Z,559
2026-06-10T13:01:57.992Z,492
2026-06-10T12:53:45.401Z,474
2026-06-10T12:45:51.140Z,370
2026-06-10T12:39:40.396Z,612
2026-06-10T12:29:28.189Z,562
2026-06-10T12:20:05.993Z,295
2026-06-10T12:15:10.792Z,281
2026-06-10T12:10:29.581Z,605
2026-06-10T12:00:24.349Z,614
2026-06-10T11:50:10.205Z,299
2026-06-10T11:45:10.467Z,249
2026-06-10T11:41:00.984Z,235
2026-06-10T11:37:05.690Z,245
2026-06-10T11:33:00.688Z,578
2026-06-10T11:23:21.932Z,599
2026-06-10T11:13:22.931Z,600
2026-06-10T11:03:22.519Z,602
2026-06-10T10:53:20.256Z,357
2026-06-10T10:47:23.164Z,600
2026-06-10T10:37:22.861Z,558
2026-06-10T10:28:04.271Z,447
2026-06-10T10:20:36.498Z,506
2026-06-10T10:12:09.911Z,422
2026-06-10T10:05:07.738Z,284
2026-06-10T10:00:22.928Z,559
2026-06-10T09:51:03.753Z,287
2026-06-10T09:46:16.428Z,252
2026-06-10T09:42:04.141Z,277
2026-06-10T09:37:26.851Z,611
2026-06-10T09:27:15.801Z,590
2026-06-10T09:17:25.627Z,566
2026-06-10T09:07:58.657Z,341
2026-06-10T09:02:17.297Z,287
2026-06-10T08:57:29.417Z,605
2026-06-10T08:47:24.159Z,516
2026-06-10T08:38:47.704Z,557
2026-06-10T08:29:30.300Z,602
2026-06-10T08:19:28.161Z,418
2026-06-10T08:12:30.077Z,601
2026-06-10T08:02:28.392Z,481
2026-06-10T07:54:26.952Z,472
2026-06-10T07:46:34.599Z,273
2026-06-10T07:42:01.570Z,252
2026-06-10T07:37:49.504Z,508
2026-06-10T07:29:21.186Z,593
2026-06-10T07:19:27.629Z,610
2026-06-10T07:09:17.342Z,548
2026-06-10T07:00:08.380Z,289
2026-06-10T06:55:18.879Z,589
2026-06-10T06:45:29.552Z,606
2026-06-10T06:35:23.246Z,480
2026-06-10T06:27:22.979Z,598
2026-06-10T06:17:24.349Z,297
2026-06-10T06:12:27.038Z,604
2026-06-10T06:02:22.384Z,597
2026-06-10T05:52:24.591Z,349
2026-06-10T05:46:34.647Z,608
2026-06-10T05:36:25.660Z,548
2026-06-10T05:27:16.849Z,571
2026-06-10T05:17:45.358Z,527
2026-06-10T05:08:57.418Z,460
2026-06-10T05:01:16.932Z,295
2026-06-10T04:56:21.504Z,558
2026-06-10T04:47:03.285Z,291
2026-06-10T04:42:11.583Z,292
2026-06-10T04:37:19.076Z,542
2026-06-10T04:28:16.417Z,323
2026-06-10T04:22:52.498Z,369
2026-06-10T04:16:42.560Z,328
2026-06-10T04:11:14.342Z,562
2026-06-10T04:01:51.939Z,560
2026-06-10T03:52:31.477Z,441
2026-06-10T03:45:09.918Z,546
2026-06-10T03:36:03.001Z,487
2026-06-10T03:27:55.718Z,509
2026-06-10T03:19:26.664Z,497
2026-06-10T03:11:08.739Z,539
2026-06-10T03:02:09.630Z,554
2026-06-10T02:52:55.581Z,398
2026-06-10T02:46:17.249Z,379
2026-06-10T02:39:57.955Z,276
2026-06-10T02:35:21.004Z,553
2026-06-10T02:26:07.945Z,341
2026-06-10T02:20:26.180Z,268
2026-06-10T02:15:57.771Z,224
2026-06-10T02:12:13.139Z,557
2026-06-10T02:02:56.127Z,546
2026-06-10T01:53:49.846Z,289
2026-06-10T01:49:00.221Z,461
2026-06-10T01:41:18.313Z,286
2026-06-10T01:36:31.667Z,554
2026-06-10T01:27:17.257Z,552
2026-06-10T01:18:05.035Z,283
2026-06-10T01:13:21.141Z,595
2026-06-10T01:03:25.849Z,551
2026-06-10T00:54:13.857Z,589
2026-06-10T00:44:24.300Z,433
2026-06-10T00:37:10.454Z,540
2026-06-10T00:28:09.667Z,535
2026-06-10T00:19:13.842Z,542
2026-06-10T00:10:11.321Z,598
2026-06-10T00:00:12.882Z,569
2026-06-09T23:50:43.063Z,262
2026-06-09T23:46:20.755Z,567
2026-06-09T23:36:53.376Z,228
2026-06-09T23:33:04.679Z,468
2026-06-09T23:25:16.509Z,368
2026-06-09T23:19:07.680Z,468
2026-06-09T23:11:19.206Z,496
2026-06-09T23:03:02.453Z,542
2026-06-09T22:54:00.206Z,375
2026-06-09T22:47:44.448Z,475
2026-06-09T22:39:49.318Z,277
2026-06-09T22:35:11.618Z,542
2026-06-09T22:26:09.501Z,565
2026-06-09T22:16:44.201Z,336
2026-06-09T22:11:07.239Z,565
2026-06-09T22:01:42.106Z,405
2026-06-09T21:54:56.624Z,283
2026-06-09T21:50:13.493Z,561
2026-06-09T21:40:52.426Z,278
2026-06-09T21:36:13.787Z,552
2026-06-09T21:27:00.853Z,250
2026-06-09T21:22:50.100Z,260
2026-06-09T21:18:29.502Z,260
2026-06-09T21:14:08.588Z,283
2026-06-09T21:09:25.227Z,576
2026-06-09T20:59:49.013Z,312
2026-06-09T20:54:36.352Z,302
2026-06-09T20:49:34.024Z,585
2026-06-09T20:39:48.026Z,534
2026-06-09T20:30:53.180Z,272
2026-06-09T20:26:20.631Z,571
2026-06-09T20:16:49.503Z,403
2026-06-09T20:10:06.483Z,null
``
