system,workload,iteration,raw_rows,query,seconds,source,phase
databricks,dashboard,8,4248886900,3,0.677,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,8,4248886900,4,0.494,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,9,4848983718,1,1.155,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,9,4848983718,2,0.44,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,9,4848983718,3,0.359,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,9,4848983718,4,0.852,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,10,5448871065,1,1.588,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,10,5448871065,2,0.378,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,10,5448871065,3,0.481,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,10,5448871065,4,0.388,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,11,6048972873,1,1.926,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,11,6048972873,2,0.402,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,11,6048972873,3,0.375,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,11,6048972873,4,0.424,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,12,6649003205,1,1.734,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,12,6649003205,2,0.401,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,12,6649003205,3,0.424,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,12,6649003205,4,0.439,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,13,7248988928,1,2.364,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,13,7248988928,2,0.461,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,13,7248988928,3,0.479,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,13,7248988928,4,0.476,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,14,7849051094,1,0.697,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,14,7849051094,2,0.401,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,14,7849051094,3,0.39,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,14,7849051094,4,0.46,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,15,8448855794,1,1.545,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,15,8448855794,2,0.783,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,15,8448855794,3,0.8,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,15,8448855794,4,1.06,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,16,9048929201,1,1.549,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,16,9048929201,2,0.462,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,16,9048929201,3,0.385,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,16,9048929201,4,0.525,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,17,9648968625,1,1.321,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,17,9648968625,2,0.393,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,17,9648968625,3,0.415,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,17,9648968625,4,0.433,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,18,10248903114,1,0.75,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,18,10248903114,2,0.396,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,18,10248903114,3,0.379,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,18,10248903114,4,0.967,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,19,10848950992,1,0.75,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,19,10848950992,2,0.566,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,19,10848950992,3,0.466,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,19,10848950992,4,0.878,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,20,11448893976,1,1.513,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,20,11448893976,2,0.735,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,20,11448893976,3,0.742,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,20,11448893976,4,1.331,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,21,12048592301,1,0.88,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,21,12048592301,2,0.788,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,21,12048592301,3,0.373,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,21,12048592301,4,0.416,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,22,12649009868,1,1.025,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,22,12649009868,2,0.436,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,22,12649009868,3,0.398,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,22,12649009868,4,0.445,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,23,13249019508,1,0.919,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,23,13249019508,2,0.684,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,23,13249019508,3,0.671,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,23,13249019508,4,0.725,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,24,13848898093,1,0.77,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,24,13848898093,2,0.386,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,24,13848898093,3,0.393,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,24,13848898093,4,0.411,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,25,14448885812,1,1.075,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,25,14448885812,2,0.769,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,25,14448885812,3,0.806,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,25,14448885812,4,0.823,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,26,15048867160,1,0.992,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,26,15048867160,2,0.443,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,26,15048867160,3,0.42,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,26,15048867160,4,0.442,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,27,15648997618,1,1.222,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,27,15648997618,2,0.456,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,27,15648997618,3,0.422,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,27,15648997618,4,0.732,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,28,16249004090,1,0.813,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,28,16249004090,2,0.475,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,28,16249004090,3,0.395,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,28,16249004090,4,0.432,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,29,16849004649,1,0.709,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,29,16849004649,2,0.418,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,29,16849004649,3,0.393,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,29,16849004649,4,0.423,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,30,17448992007,1,0.732,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,30,17448992007,2,0.414,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,30,17448992007,3,0.479,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,30,17448992007,4,0.455,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,31,18048883403,1,1.944,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,31,18048883403,2,0.46,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,31,18048883403,3,0.427,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,31,18048883403,4,0.509,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,32,18648733933,1,1.206,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,32,18648733933,2,0.413,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,32,18648733933,3,0.434,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,32,18648733933,4,0.443,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,33,19248986594,1,0.658,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,33,19248986594,2,0.443,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,33,19248986594,3,0.399,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,33,19248986594,4,0.411,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,34,19848956047,1,0.673,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,34,19848956047,2,0.412,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,34,19848956047,3,0.395,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,34,19848956047,4,0.468,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,35,20448891140,1,0.962,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,35,20448891140,2,0.627,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,35,20448891140,3,0.382,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,35,20448891140,4,0.452,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,36,21048956022,1,0.628,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,36,21048956022,2,0.656,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,36,21048956022,3,0.65,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,36,21048956022,4,0.471,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,37,21648927817,1,1.016,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,37,21648927817,2,0.608,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,37,21648927817,3,0.747,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,37,21648927817,4,0.7,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,38,22249043246,1,1.228,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,38,22249043246,2,0.467,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,38,22249043246,3,0.733,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,38,22249043246,4,0.447,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,39,22848929920,1,1.061,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,39,22848929920,2,0.682,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,39,22848929920,3,0.494,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,39,22848929920,4,0.481,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,40,23448953518,1,1.855,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,40,23448953518,2,0.652,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,40,23448953518,3,0.854,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,40,23448953518,4,0.926,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,41,24048909415,1,0.899,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,41,24048909415,2,0.654,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,41,24048909415,3,0.669,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,41,24048909415,4,0.762,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,42,24648973497,1,0.738,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
databricks,dashboard,42,24648973497,2,0.392,quotes/databricks/results/serverless_baseline_full_20260918T170453Z/mv/dashboard_20260918T170453Z.jsonl,accepted_ingestion_window
